Date; Time (EST)Temp.; Windchill; Dew Point; Humidity; Pressure; Visibility; Wind Dir; Wind Speed; Gust Speed; Precip; Events; Conditions
2018/01/01; 12:54 AM-8.0 °F; -22.5 °F; -11.0 °F; 86%; 30.69 in; 10.0 mi; West; 6.9 mph; -; N/A;  ; Clear
2018/01/01; 1:54 AM-8.0 °F; -19.2 °F; -11.0 °F; 86%; 30.69 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/01; 2:54 AM-9.9 °F; -23.4 °F; -11.9 °F; 91%; 30.71 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/01; 3:54 AM-9.9 °F; -23.4 °F; -14.1 °F; 82%; 30.72 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/01; 4:54 AM-13.0 °F; -27.0 °F; -15.0 °F; 91%; 30.73 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/01; 5:54 AM-14.1 °F; -31.3 °F; -18.0 °F; 82%; 30.74 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/01; 6:54 AM-15.0 °F; -27.4 °F; -18.0 °F; 86%; 30.75 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/01; 7:54 AM-16.1 °F; -32.3 °F; -20.0 °F; 82%; 30.76 in; 10.0 mi; West; 6.9 mph; -; N/A;  ; Clear
2018/01/01; 8:54 AM-16.1 °F; -32.3 °F; -18.9 °F; 87%; 30.78 in; 10.0 mi; West; 6.9 mph; -; N/A;  ; Clear
2018/01/01; 9:54 AM-11.9 °F; -29.9 °F; -17.0 °F; 78%; 30.79 in; 10.0 mi; West; 9.2 mph; -; N/A;  ; Clear
2018/01/01; 10:54 AM-9.9 °F; -26.3 °F; -16.1 °F; 74%; 30.81 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/01; 11:54 AM-8.0 °F; -23.9 °F; -16.1 °F; 68%; 30.81 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/01; 12:54 PM-6.0 °F; -25.5 °F; -15.0 °F; 65%; 30.79 in; 10.0 mi; WSW; 12.7 mph; -; N/A;  ; Clear
2018/01/01; 1:54 PM-5.1 °F; -22.5 °F; -14.1 °F; 65%; 30.78 in; 10.0 mi; West; 10.4 mph; -; N/A;  ; Clear
2018/01/01; 2:54 PM-5.1 °F; -22.5 °F; -14.1 °F; 65%; 30.77 in; 10.0 mi; West; 10.4 mph; -; N/A;  ; Clear
2018/01/01; 3:54 PM-5.1 °F; -22.5 °F; -14.1 °F; 65%; 30.79 in; 10.0 mi; West; 10.4 mph; -; N/A;  ; Clear
2018/01/01; 4:54 PM-5.1 °F; -20.4 °F; -14.1 °F; 65%; 30.79 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/01; 5:54 PM-8.0 °F; -22.5 °F; -16.1 °F; 68%; 30.80 in; 10.0 mi; West; 6.9 mph; -; N/A;  ; Clear
2018/01/01; 6:54 PM-9.0 °F; -22.3 °F; -15.0 °F; 75%; 30.81 in; 10.0 mi; WSW; 5.8 mph; -; N/A;  ; Clear
2018/01/01; 7:54 PM-9.9 °F; -21.5 °F; -15.0 °F; 78%; 30.82 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/01; 8:54 PM-11.9 °F; -23.8 °F; -15.0 °F; 86%; 30.81 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/01; 9:54 PM-13.0 °F; -; -16.1 °F; 86%; 30.81 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/01; 10:54 PM-14.1 °F; -; -17.0 °F; 87%; 30.81 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/01; 11:54 PM-14.1 °F; -23.9 °F; -17.0 °F; 87%; 30.80 in; 10.0 mi; WSW; 3.5 mph; -; N/A;  ; Clear
2018/01/02; 12:54 AM-14.1 °F; -; -18.0 °F; 82%; 30.79 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/02; 1:54 AM-16.1 °F; -26.2 °F; -18.0 °F; 91%; 30.77 in; 10.0 mi; SW; 3.5 mph; -; N/A;  ; Clear
2018/01/02; 2:54 AM-16.1 °F; -26.2 °F; -18.9 °F; 87%; 30.77 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/02; 3:54 AM-16.1 °F; -26.2 °F; -18.9 °F; 87%; 30.76 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/02; 4:54 AM-18.0 °F; -33.0 °F; -20.9 °F; 87%; 30.76 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/02; 5:54 AM-17.0 °F; -27.2 °F; -20.0 °F; 86%; 30.76 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/02; 6:54 AM-17.0 °F; -29.7 °F; -20.0 °F; 86%; 30.75 in; 9.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/02; 7:54 AM-17.0 °F; -27.2 °F; -20.0 °F; 86%; 30.74 in; 10.0 mi; SW; 3.5 mph; -; N/A;  ; Clear
2018/01/02; 8:54 AM-17.0 °F; -27.2 °F; -18.9 °F; 91%; 30.74 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/02; 9:54 AM-11.9 °F; -25.7 °F; -14.1 °F; 90%; 30.74 in; 10.0 mi; SW; 5.8 mph; -; N/A;  ; Clear
2018/01/02; 10:54 AM-8.0 °F; -23.9 °F; -11.9 °F; 83%; 30.73 in; 10.0 mi; SW; 8.1 mph; -; N/A;  ; Clear
2018/01/02; 11:54 AM-5.1 °F; -21.5 °F; -11.0 °F; 76%; 30.70 in; 10.0 mi; SW; 9.2 mph; -; N/A;  ; Clear
2018/01/02; 12:54 PM-2.0 °F; -15.4 °F; -9.0 °F; 72%; 30.66 in; 10.0 mi; SW; 6.9 mph; -; N/A;  ; Clear
2018/01/02; 1:54 PM1.0 °F; -12.9 °F; -8.0 °F; 66%; 30.62 in; 10.0 mi; SW; 8.1 mph; -; N/A;  ; Clear
2018/01/02; 2:54 PM3.0 °F; -11.5 °F; -8.0 °F; 60%; 30.58 in; 10.0 mi; SW; 9.2 mph; -; N/A;  ; Clear
2018/01/02; 3:54 PM3.9 °F; -10.4 °F; -6.0 °F; 64%; 30.56 in; 10.0 mi; SW; 9.2 mph; -; N/A;  ; Clear
2018/01/02; 4:54 PM3.0 °F; -9.3 °F; -6.0 °F; 66%; 30.54 in; 10.0 mi; SW; 6.9 mph; -; N/A;  ; Clear
2018/01/02; 5:54 PM1.0 °F; -11.7 °F; -7.1 °F; 69%; 30.52 in; 10.0 mi; SSW; 6.9 mph; -; N/A;  ; Clear
2018/01/02; 7:54 PM-0.9 °F; -11.0 °F; -6.0 °F; 79%; 30.46 in; 10.0 mi; SSW; 4.6 mph; -; N/A;  ; Clear
2018/01/02; 8:54 PM-0.9 °F; -11.0 °F; -6.0 °F; 79%; 30.42 in; 10.0 mi; SSW; 4.6 mph; -; N/A;  ; Clear
2018/01/02; 9:54 PM-2.0 °F; -; -6.0 °F; 83%; 30.37 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/02; 11:54 PM-0.0 °F; -; -5.1 °F; 79%; 30.32 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/03; 12:54 AM3.0 °F; -4.4 °F; -4.0 °F; 73%; 30.29 in; 10.0 mi; Variable; 3.5 mph; -; N/A;  ; Clear
2018/01/03; 1:54 AM3.0 °F; -6.4 °F; -4.0 °F; 73%; 30.26 in; 10.0 mi; SW; 4.6 mph; -; N/A;  ; Clear
2018/01/03; 2:54 AM5.0 °F; -6.9 °F; -2.9 °F; 70%; 30.24 in; 10.0 mi; SSW; 6.9 mph; -; N/A;  ; Clear
2018/01/03; 3:54 AM7.0 °F; -1.7 °F; -2.0 °F; 67%; 30.20 in; 10.0 mi; SSW; 4.6 mph; -; N/A;  ; Scattered Clouds
2018/01/03; 4:54 AM8.1 °F; -3.2 °F; -0.0 °F; 70%; 30.17 in; 10.0 mi; South; 6.9 mph; -; N/A;  ; Overcast
2018/01/03; 5:54 AM10.0 °F; -0.9 °F; 1.0 °F; 67%; 30.16 in; 10.0 mi; SSW; 6.9 mph; -; N/A;  ; Overcast
2018/01/03; 6:54 AM12.0 °F; 1.5 °F; 1.9 °F; 64%; 30.15 in; 10.0 mi; SW; 6.9 mph; -; N/A;  ; Overcast
2018/01/03; 7:54 AM12.9 °F; -0.2 °F; 3.0 °F; 65%; 30.14 in; 10.0 mi; WSW; 10.4 mph; -; N/A;  ; Overcast
2018/01/03; 8:54 AM12.9 °F; 0.7 °F; 5.0 °F; 71%; 30.14 in; 10.0 mi; SW; 9.2 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 9:21 AM14.0 °F; 5.1 °F; 7.0 °F; 74%; 30.09 in; 2.0 mi; SW; 5.8 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 9:33 AM12.9 °F; 2.6 °F; 8.1 °F; 81%; 30.09 in; 1.5 mi; SW; 6.9 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 9:44 AM14.0 °F; 2.0 °F; 9.0 °F; 80%; 30.09 in; 3.0 mi; SW; 9.2 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 9:54 AM14.0 °F; 5.1 °F; 9.0 °F; 80%; 30.13 in; 2.5 mi; SW; 5.8 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 10:11 AM14.0 °F; 2.9 °F; 10.0 °F; 84%; 30.09 in; 3.0 mi; SW; 8.1 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 10:54 AM15.1 °F; 4.2 °F; 10.0 °F; 80%; 30.14 in; 5.0 mi; SW; 8.1 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 11:32 AM17.1 °F; 6.6 °F; 10.9 °F; 77%; 30.09 in; 3.0 mi; WSW; 8.1 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 11:54 AM17.1 °F; 5.8 °F; 12.0 °F; 81%; 30.12 in; 3.0 mi; WSW; 9.2 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 12:33 PM17.1 °F; 2.5 °F; 12.9 °F; 84%; 30.06 in; 2.5 mi; West; 15.0 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 12:54 PM18.0 °F; 4.8 °F; 12.9 °F; 81%; 30.09 in; 3.0 mi; West; 12.7 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 1:17 PM18.0 °F; 4.8 °F; 12.9 °F; 81%; 30.05 in; 1.2 mi; West; 12.7 mph; -; 0.00 in; Snow; Light Snow
2018/01/03; 1:35 PM17.1 °F; 3.6 °F; 12.0 °F; 81%; 30.05 in; 3.0 mi; WNW; 12.7 mph; 24.2 mph; 0.00 in; Snow; Light Snow
2018/01/03; 1:54 PM17.1 °F; 0.6 °F; 10.9 °F; 77%; 30.10 in; 4.0 mi; WNW; 19.6 mph; 26.5 mph; 0.00 in; Snow; Light Snow
2018/01/03; 2:06 PM17.1 °F; 4.3 °F; 10.0 °F; 74%; 30.07 in; 8.0 mi; West; 11.5 mph; -; 0.00 in;  ; Overcast
2018/01/03; 2:54 PM16.0 °F; 0.6 °F; 8.1 °F; 71%; 30.10 in; 10.0 mi; West; 16.1 mph; 28.8 mph; 0.00 in;  ; Overcast
2018/01/03; 11:54 PM-0.9 °F; -11.0 °F; -4.0 °F; 87%; 30.23 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/04; 12:54 AM-2.0 °F; -13.9 °F; -5.1 °F; 87%; 30.23 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/04; 1:54 AM-2.9 °F; -15.0 °F; -6.0 °F; 87%; 30.24 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/04; 2:54 AM-5.1 °F; -19.1 °F; -8.0 °F; 87%; 30.25 in; 10.0 mi; West; 6.9 mph; -; N/A;  ; Clear
2018/01/04; 3:54 AM-6.0 °F; -18.6 °F; -8.0 °F; 91%; 30.25 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/04; 4:54 AM-6.0 °F; -18.6 °F; -9.0 °F; 87%; 30.26 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/04; 5:54 AM-8.0 °F; -19.2 °F; -9.9 °F; 91%; 30.26 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Mostly Cloudy
2018/01/04; 6:54 AM-4.0 °F; -12.4 °F; -7.1 °F; 87%; 30.27 in; 10.0 mi; WSW; 3.5 mph; -; N/A;  ; Overcast
2018/01/04; 7:54 AM-6.0 °F; -18.6 °F; -9.0 °F; 87%; 30.29 in; 10.0 mi; WNW; 5.8 mph; -; N/A;  ; Scattered Clouds
2018/01/04; 8:54 AM-7.1 °F; -; -8.0 °F; 96%; 30.31 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/04; 9:54 AM-2.0 °F; -10.1 °F; -6.0 °F; 83%; 30.32 in; 10.0 mi; WSW; 3.5 mph; -; N/A;  ; Clear
2018/01/04; 10:54 AM3.0 °F; -9.3 °F; -2.9 °F; 76%; 30.32 in; 10.0 mi; Variable; 6.9 mph; -; N/A;  ; Clear
2018/01/04; 11:54 AM3.9 °F; -10.4 °F; -2.9 °F; 73%; 30.32 in; 10.0 mi; West; 9.2 mph; -; N/A;  ; Clear
2018/01/04; 12:54 PM3.9 °F; -9.4 °F; -4.0 °F; 70%; 30.31 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/04; 1:54 PM5.0 °F; -9.1 °F; -2.9 °F; 70%; 30.30 in; 10.0 mi; West; 9.2 mph; -; N/A;  ; Clear
2018/01/04; 2:54 PM5.0 °F; -11.6 °F; -2.0 °F; 73%; 30.31 in; 10.0 mi; West; 12.7 mph; -; N/A;  ; Clear
2018/01/04; 3:54 PM5.0 °F; -9.1 °F; -2.0 °F; 73%; 30.32 in; 10.0 mi; West; 9.2 mph; -; N/A;  ; Clear
2018/01/04; 4:54 PM3.9 °F; -11.3 °F; -2.9 °F; 73%; 30.32 in; 10.0 mi; West; 10.4 mph; -; N/A;  ; Clear
2018/01/04; 5:54 PM1.0 °F; -12.9 °F; -5.1 °F; 75%; 30.33 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/04; 6:54 PM-0.9 °F; -15.3 °F; -6.0 °F; 79%; 30.35 in; 10.0 mi; West; 8.1 mph; -; N/A;  ; Clear
2018/01/04; 7:54 PM-2.9 °F; -13.3 °F; -7.1 °F; 82%; 30.36 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/04; 8:54 PM-4.0 °F; -12.4 °F; -7.1 °F; 87%; 30.36 in; 10.0 mi; WSW; 3.5 mph; -; N/A;  ; Clear
2018/01/04; 9:54 PM-5.1 °F; -15.8 °F; -8.0 °F; 87%; 30.35 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/04; 10:54 PM-7.1 °F; -18.1 °F; -9.9 °F; 87%; 30.35 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/04; 11:54 PM-8.0 °F; -; -9.9 °F; 91%; 30.37 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 12:54 AM-9.0 °F; -20.4 °F; -11.9 °F; 87%; 30.36 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 1:54 AM-9.9 °F; -21.5 °F; -11.9 °F; 91%; 30.36 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 2:54 AM-9.9 °F; -21.5 °F; -13.0 °F; 86%; 30.37 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 3:54 AM-11.0 °F; -24.6 °F; -14.1 °F; 86%; 30.38 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/05; 4:54 AM-11.0 °F; -; -14.1 °F; 86%; 30.38 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 5:54 AM-13.0 °F; -25.1 °F; -17.0 °F; 82%; 30.39 in; 1.0 mi; West; 4.6 mph; -; N/A;  ; Mist
2018/01/05; 6:03 AM-15.0 °F; -25.0 °F; -17.0 °F; 91%; 30.33 in; 2.5 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/05; 6:10 AM-13.0 °F; -; -17.0 °F; 82%; 30.34 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 6:20 AM-11.0 °F; -; -15.0 °F; 83%; 30.34 in; 9.0 mi; Calm; Calm; -; N/A;  ; Scattered Clouds
2018/01/05; 6:54 AM-13.0 °F; -; -17.0 °F; 82%; 30.40 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 7:54 AM-15.0 °F; -27.4 °F; -18.0 °F; 86%; 30.42 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 8:54 AM-11.9 °F; -21.5 °F; -14.1 °F; 90%; 30.44 in; 10.0 mi; NW; 3.5 mph; -; N/A;  ; Clear
2018/01/05; 9:54 AM-6.0 °F; -18.6 °F; -9.0 °F; 87%; 30.44 in; 10.0 mi; West; 5.8 mph; -; N/A;  ; Clear
2018/01/05; 10:54 AM-0.0 °F; -13.0 °F; -4.0 °F; 83%; 30.46 in; 10.0 mi; West; 6.9 mph; -; N/A;  ; Clear
2018/01/05; 11:54 AM3.0 °F; -10.5 °F; -5.1 °F; 69%; 30.46 in; 10.0 mi; WNW; 8.1 mph; -; N/A;  ; Clear
2018/01/05; 12:54 PM5.0 °F; -12.3 °F; -5.1 °F; 63%; 30.44 in; 10.0 mi; WNW; 13.8 mph; -; N/A;  ; Clear
2018/01/05; 1:54 PM5.0 °F; -10.8 °F; -5.1 °F; 63%; 30.45 in; 10.0 mi; West; 11.5 mph; -; N/A;  ; Clear
2018/01/05; 2:54 PM6.1 °F; -7.8 °F; -4.0 °F; 63%; 30.46 in; 10.0 mi; WNW; 9.2 mph; -; N/A;  ; Clear
2018/01/05; 3:54 PM6.1 °F; -5.6 °F; -4.0 °F; 63%; 30.48 in; 10.0 mi; WNW; 6.9 mph; -; N/A;  ; Clear
2018/01/05; 4:54 PM3.9 °F; -11.3 °F; -4.0 °F; 70%; 30.48 in; 10.0 mi; West; 10.4 mph; -; N/A;  ; Clear
2018/01/05; 5:54 PM1.0 °F; -8.7 °F; -6.0 °F; 72%; 30.51 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 6:54 PM-0.0 °F; -9.9 °F; -6.0 °F; 76%; 30.51 in; 10.0 mi; WSW; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 7:54 PM-2.0 °F; -12.2 °F; -7.1 °F; 79%; 30.53 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 8:54 PM-5.1 °F; -13.6 °F; -7.1 °F; 91%; 30.54 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
2018/01/05; 9:54 PM-6.0 °F; -16.9 °F; -9.0 °F; 87%; 30.55 in; 10.0 mi; West; 4.6 mph; -; N/A;  ; Clear
2018/01/05; 10:54 PM-9.0 °F; -; -11.0 °F; 91%; 30.56 in; 10.0 mi; Calm; Calm; -; N/A;  ; Clear
2018/01/05; 11:54 PM-9.9 °F; -19.2 °F; -13.0 °F; 86%; 30.56 in; 10.0 mi; West; 3.5 mph; -; N/A;  ; Clear
